Plan,YEAR,January,February,March,April,May,June,July,August,September,October,November,December
ProAhorro,2019,0.36%,0.33%,0.36%,0.35%,0.37%,0.36%,0.37%,0.37%,0.36%,0.37%,0.36%,0.37%
ProAhorro,2020,0.37%,0.35%,0.37%,0.34%,0.35%,0.35%,0.35%,0.35%,0.34%,0.35%,0.33%,0.35%
ProAhorro,2021,0.34%,0.31%,0.34%,0.33%,0.34%,0.33%,0.33%,0.33%,0.32%,0.32%,0.31%,0.32%
ProAhorro,2022,0.31%,0.28%,0.29%,0.28%,0.30%,0.27%,0.29%,0.29%,0.28%,0.30%,0.31%,0.34%
ProAhorro,2023,0.34%,0.32%,0.36%,0.36%,0.38%,0.37%,0.39%,0.04%,0.39%,0.41%,0.04%,0.42%
ProAhorro,2024,0.43%,0.4%,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ProRenta,2019,0.68%,0.47%,0.53%,0.30%,0.51%,0.61%,0.31%,0.49%,0.38%,0.41%,0.30%,0.39%
ProRenta,2020,0.41%,0.22%,-1.18%,0.91%,0.82%,0.41%,0.63%,0.71%,0.27%,0.47%,0.57%,0.39%
ProRenta,2021,0.24%,0.09%,-0.04%,0.40%,0.39%,0.32%,0.25%,0.35%,0.22%,-0.03%,0.21%,0.37%
ProRenta,2022,-0.34%,-0.39%,-0.40%,-0.64%,-0.10%,-1.09%,0.53%,0.80%,-1.85%,-0.06%,1.24%,1.50%
ProRenta,2023,0.81%,-0.52%,0.50%,0.54%,0.38%,0.46%,0.40%,0.47%,-0.34%,-0.50%,0.75%,0.94%
ProRenta,2024,0.54%,0.33%,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ProInversion,2019,1.04%,1.10%,0.69%,0.53%,0.54%,0.81%,0.45%,0.36%,0.41%,0.58%,0.20%,0.64%
ProInversion,2020,0.60%,-0.03%,-7.26%,1.50%,2.50%,1.56%,1.43%,1.24%,0.10%,0.34%,2.00%,1.01%
ProInversion,2021,0.36%,0.38%,-0.35%,0.76%,0.41%,0.56%,0.48%,0.30%,0.02%,-0.10%,-0.48%,0.93%
ProInversion,2022,-0.64%,-1.06%,-0.34%,-1.67%,-0.78%,-2.97%,1.27%,0.72%,-3.25%,-0.03%,2.70%,1.56%
ProInversion,2023,1.79%,-1.20%,0.16%,0.67%,0.20%,0.74%,1.61%,0.56%,-0.86%,-0.70%,2.50%,2.14%
ProInversion,2024,0.64%,0.59%,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ProVision,2019,-0.18%,0.10%,0.63%,0.40%,0.82%,0.90%,1.57%,0.22%,0.47%,0.81%,-0.60%,0.94%
ProVision,2020,0.29%,0.00%,-2.63%,-1.67%,-1.35%,0.56%,-0.92%,1.08%,-0.06%,-0.38%,1.41%,0.77%
ProVision,2021,-0.18%,1.00%,1.01%,1.05%,1.14%,0.83%,0.53%,0.65%,-0.10%,0.43%,0.06%,1.03%
ProVision,2022,-0.01%,-0.14%,0.33%,-0.61%,-0.17%,-1.07%,0.09%,1.31%,-1.19%,-0.08%,1.76%,0.84%
ProVision,2023,1.00%,0.02%,-1.03%,0.53%,0.79%,0.94%,1.07%,0.11%,0.15%,-0.33%,1.32%,1.90%
ProVision,2024,0.15%,1.37%,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ProCapital,2019,2.70%,1.92%,0.90%,1.42%,-1.27%,2.27%,0.63%,-0.46%,0.71%,1.22%,1.08%,1.39%
ProCapital,2020,0.36%,-3.00%,-8.91%,4.32%,2.85%,1.65%,3.14%,2.63%,-1.34%,-0.80%,5.23%,2.17%
ProCapital,2021,0.05%,0.83%,0.74%,2.37%,0.83%,0.55%,0.64%,0.89%,-1.40%,1.43%,-1.33%,2.03%
ProCapital,2022,-2.34%,-1.74%,1.11%,-4.22%,-0.71%,-5.77%,3.34%,-1.08%,-5.78%,2.00%,4.83%,-0.46%
ProCapital,2023,3.72%,-1.78%,0.93%,0.95%,-0.25%,2.61%,2.10%,-0.42%,-2.20%,-1.82%,5.37%,3.29%
ProCapital,2024,1.01%,1.48%,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
