Area,Element,Item,Year,Unit,Value
Argentina,Area harvested,Asparagus,1961,ha,450
Argentina,Area harvested,Asparagus,1962,ha,495
Argentina,Area harvested,Asparagus,1963,ha,486
Argentina,Area harvested,Asparagus,1964,ha,473
Argentina,Area harvested,Asparagus,1965,ha,504
Argentina,Area harvested,Asparagus,1966,ha,520
Argentina,Area harvested,Asparagus,1967,ha,800
Argentina,Area harvested,Asparagus,1968,ha,810
Argentina,Area harvested,Asparagus,1969,ha,834
Argentina,Area harvested,Asparagus,1970,ha,840
Argentina,Area harvested,Asparagus,1971,ha,810
Argentina,Area harvested,Asparagus,1972,ha,860
Argentina,Area harvested,Asparagus,1973,ha,850
Argentina,Area harvested,Asparagus,1974,ha,883
Argentina,Area harvested,Asparagus,1975,ha,898
Argentina,Area harvested,Asparagus,1976,ha,880
Argentina,Area harvested,Asparagus,1977,ha,900
Argentina,Area harvested,Asparagus,1978,ha,900
Argentina,Area harvested,Asparagus,1979,ha,900
Argentina,Area harvested,Asparagus,1980,ha,960
Argentina,Area harvested,Asparagus,1981,ha,1000
Argentina,Area harvested,Asparagus,1982,ha,980
Argentina,Area harvested,Asparagus,1983,ha,940
Argentina,Area harvested,Asparagus,1984,ha,1070
Argentina,Area harvested,Asparagus,1985,ha,1080
Argentina,Area harvested,Asparagus,1986,ha,1055
Argentina,Area harvested,Asparagus,1987,ha,1100
Argentina,Area harvested,Asparagus,1988,ha,1150
Argentina,Area harvested,Asparagus,1989,ha,1150
Argentina,Area harvested,Asparagus,1990,ha,1152
Argentina,Area harvested,Asparagus,1991,ha,1200
Argentina,Area harvested,Asparagus,1992,ha,1250
Argentina,Area harvested,Asparagus,1993,ha,1286
Argentina,Area harvested,Asparagus,1994,ha,1300
Argentina,Area harvested,Asparagus,1995,ha,1400
Argentina,Area harvested,Asparagus,1996,ha,1500
Argentina,Area harvested,Asparagus,1997,ha,1504
Argentina,Area harvested,Asparagus,1998,ha,1556
Argentina,Area harvested,Asparagus,1999,ha,1700
Argentina,Area harvested,Asparagus,2000,ha,1658
Argentina,Area harvested,Asparagus,2001,ha,1704
Argentina,Area harvested,Asparagus,2002,ha,1800
Argentina,Area harvested,Asparagus,2003,ha,1850
Argentina,Area harvested,Asparagus,2004,ha,1783
Argentina,Area harvested,Asparagus,2005,ha,1864
Argentina,Area harvested,Asparagus,2006,ha,1790
Argentina,Area harvested,Asparagus,2007,ha,1800
Argentina,Area harvested,Asparagus,2008,ha,1998
Argentina,Area harvested,Asparagus,2009,ha,2121
Argentina,Area harvested,Asparagus,2010,ha,2227
Argentina,Area harvested,Asparagus,2011,ha,2339
Argentina,Area harvested,Asparagus,2012,ha,2650
Argentina,Area harvested,Asparagus,2013,ha,2555
Argentina,Area harvested,Asparagus,2014,ha,2574
Argentina,Area harvested,Asparagus,2015,ha,2662
Argentina,Area harvested,Asparagus,2016,ha,2739
Argentina,Area harvested,Asparagus,2017,ha,2804
Argentina,Area harvested,Asparagus,2018,ha,2869
Argentina,Area harvested,Asparagus,2019,ha,2934
Australia,Area harvested,Asparagus,1961,ha,1321
Australia,Area harvested,Asparagus,1962,ha,1426
Australia,Area harvested,Asparagus,1963,ha,1616
Australia,Area harvested,Asparagus,1964,ha,1646
Australia,Area harvested,Asparagus,1965,ha,1609
Australia,Area harvested,Asparagus,1966,ha,1711
Australia,Area harvested,Asparagus,1967,ha,1746
Australia,Area harvested,Asparagus,1968,ha,1679
Australia,Area harvested,Asparagus,1969,ha,1657
Australia,Area harvested,Asparagus,1970,ha,1876
Australia,Area harvested,Asparagus,1971,ha,1991
Australia,Area harvested,Asparagus,1972,ha,2450
Australia,Area harvested,Asparagus,1973,ha,2015
Australia,Area harvested,Asparagus,1974,ha,1798
Australia,Area harvested,Asparagus,1975,ha,2289
Australia,Area harvested,Asparagus,1976,ha,1637
Australia,Area harvested,Asparagus,1977,ha,1466
Australia,Area harvested,Asparagus,1978,ha,1470
Australia,Area harvested,Asparagus,1979,ha,1279
Australia,Area harvested,Asparagus,1980,ha,1100
Australia,Area harvested,Asparagus,1981,ha,950
Australia,Area harvested,Asparagus,1982,ha,1078
Australia,Area harvested,Asparagus,1983,ha,973
Australia,Area harvested,Asparagus,1984,ha,1165
Australia,Area harvested,Asparagus,1985,ha,1470
Australia,Area harvested,Asparagus,1986,ha,1650
Australia,Area harvested,Asparagus,1987,ha,1816
Australia,Area harvested,Asparagus,1988,ha,1967
Australia,Area harvested,Asparagus,1989,ha,1811
Australia,Area harvested,Asparagus,1990,ha,1424
Australia,Area harvested,Asparagus,1991,ha,1550
Australia,Area harvested,Asparagus,1992,ha,1519
Australia,Area harvested,Asparagus,1993,ha,1600
Australia,Area harvested,Asparagus,1994,ha,1700
Australia,Area harvested,Asparagus,1995,ha,1785
Australia,Area harvested,Asparagus,1996,ha,1877
Australia,Area harvested,Asparagus,1997,ha,2139
Australia,Area harvested,Asparagus,1998,ha,2005
Australia,Area harvested,Asparagus,1999,ha,2143
Australia,Area harvested,Asparagus,2000,ha,2997
Australia,Area harvested,Asparagus,2001,ha,2406
Australia,Area harvested,Asparagus,2002,ha,2363
Australia,Area harvested,Asparagus,2003,ha,2286
Australia,Area harvested,Asparagus,2004,ha,2245
Australia,Area harvested,Asparagus,2005,ha,2304
Australia,Area harvested,Asparagus,2006,ha,2056
Australia,Area harvested,Asparagus,2007,ha,1302
Australia,Area harvested,Asparagus,2008,ha,1604
Australia,Area harvested,Asparagus,2009,ha,1616
Australia,Area harvested,Asparagus,2010,ha,1787
Australia,Area harvested,Asparagus,2011,ha,2072
Australia,Area harvested,Asparagus,2012,ha,1893
Australia,Area harvested,Asparagus,2013,ha,1667
Australia,Area harvested,Asparagus,2014,ha,1645
Australia,Area harvested,Asparagus,2015,ha,1635
Australia,Area harvested,Asparagus,2016,ha,1564
Australia,Area harvested,Asparagus,2017,ha,1534
Australia,Area harvested,Asparagus,2018,ha,1516
Australia,Area harvested,Asparagus,2019,ha,1504
Austria,Area harvested,Asparagus,1961,ha,35
Austria,Area harvested,Asparagus,1962,ha,38
Austria,Area harvested,Asparagus,1963,ha,33
Austria,Area harvested,Asparagus,1964,ha,34
Austria,Area harvested,Asparagus,1965,ha,30
Austria,Area harvested,Asparagus,1966,ha,37
Austria,Area harvested,Asparagus,1967,ha,32
Austria,Area harvested,Asparagus,1968,ha,44
Austria,Area harvested,Asparagus,1969,ha,45
Austria,Area harvested,Asparagus,1970,ha,40
Austria,Area harvested,Asparagus,1971,ha,40
Austria,Area harvested,Asparagus,1972,ha,39
Austria,Area harvested,Asparagus,1973,ha,50
Austria,Area harvested,Asparagus,1974,ha,60
Austria,Area harvested,Asparagus,1975,ha,60
Austria,Area harvested,Asparagus,1976,ha,70
Austria,Area harvested,Asparagus,1977,ha,75
Austria,Area harvested,Asparagus,1978,ha,90
Austria,Area harvested,Asparagus,1979,ha,90
Austria,Area harvested,Asparagus,1980,ha,100
Austria,Area harvested,Asparagus,1981,ha,100
Austria,Area harvested,Asparagus,1982,ha,105
Austria,Area harvested,Asparagus,1983,ha,110
Austria,Area harvested,Asparagus,1984,ha,120
Austria,Area harvested,Asparagus,1985,ha,130
Austria,Area harvested,Asparagus,1986,ha,130
Austria,Area harvested,Asparagus,1987,ha,140
Austria,Area harvested,Asparagus,1988,ha,150
Austria,Area harvested,Asparagus,1989,ha,160
Austria,Area harvested,Asparagus,1990,ha,164
Austria,Area harvested,Asparagus,1991,ha,170
Austria,Area harvested,Asparagus,1992,ha,175
Austria,Area harvested,Asparagus,1993,ha,175
Austria,Area harvested,Asparagus,1994,ha,190
Austria,Area harvested,Asparagus,1995,ha,154
Austria,Area harvested,Asparagus,1996,ha,164
Austria,Area harvested,Asparagus,1997,ha,178
Austria,Area harvested,Asparagus,1998,ha,231
Austria,Area harvested,Asparagus,1999,ha,250
Austria,Area harvested,Asparagus,2000,ha,254
Austria,Area harvested,Asparagus,2001,ha,338
Austria,Area harvested,Asparagus,2002,ha,350
Austria,Area harvested,Asparagus,2003,ha,354
Austria,Area harvested,Asparagus,2004,ha,371
Austria,Area harvested,Asparagus,2005,ha,472
Austria,Area harvested,Asparagus,2006,ha,497
Austria,Area harvested,Asparagus,2007,ha,507
Austria,Area harvested,Asparagus,2008,ha,470
Austria,Area harvested,Asparagus,2009,ha,480
Austria,Area harvested,Asparagus,2010,ha,488
Austria,Area harvested,Asparagus,2011,ha,506
Austria,Area harvested,Asparagus,2012,ha,601
Austria,Area harvested,Asparagus,2013,ha,610
Austria,Area harvested,Asparagus,2014,ha,617
Austria,Area harvested,Asparagus,2015,ha,629
Austria,Area harvested,Asparagus,2016,ha,805
Austria,Area harvested,Asparagus,2017,ha,813
Austria,Area harvested,Asparagus,2018,ha,820
Austria,Area harvested,Asparagus,2019,ha,830
Belgium,Area harvested,Asparagus,2000,ha,128
Belgium,Area harvested,Asparagus,2001,ha,140
Belgium,Area harvested,Asparagus,2002,ha,149
Belgium,Area harvested,Asparagus,2003,ha,160
Belgium,Area harvested,Asparagus,2004,ha,160
Belgium,Area harvested,Asparagus,2005,ha,160
Belgium,Area harvested,Asparagus,2006,ha,141
Belgium,Area harvested,Asparagus,2007,ha,156
Belgium,Area harvested,Asparagus,2008,ha,171
Belgium,Area harvested,Asparagus,2009,ha,174
Belgium,Area harvested,Asparagus,2010,ha,200
Belgium,Area harvested,Asparagus,2011,ha,200
Belgium,Area harvested,Asparagus,2012,ha,300
Belgium,Area harvested,Asparagus,2013,ha,366
Belgium,Area harvested,Asparagus,2014,ha,400
Belgium,Area harvested,Asparagus,2015,ha,478
Belgium,Area harvested,Asparagus,2016,ha,573
Belgium,Area harvested,Asparagus,2017,ha,587
Belgium,Area harvested,Asparagus,2018,ha,650
Belgium,Area harvested,Asparagus,2019,ha,660
Belgium-Luxembourg,Area harvested,Asparagus,1961,ha,605
Belgium-Luxembourg,Area harvested,Asparagus,1962,ha,591
Belgium-Luxembourg,Area harvested,Asparagus,1963,ha,574
Belgium-Luxembourg,Area harvested,Asparagus,1964,ha,513
Belgium-Luxembourg,Area harvested,Asparagus,1965,ha,425
Belgium-Luxembourg,Area harvested,Asparagus,1966,ha,365
